vendor_name,Trip_Pickup_DateTime,Trip_Dropoff_DateTime,Passenger_Count,Trip_Distance,Start_Lon,Start_Lat,Rate_Code,store_and_forward,End_Lon,End_Lat,Payment_Type,Fare_Amt,surcharge,mta_tax,Tip_Amt,Tolls_Amt,Total_Amt
2,2015-11-01 00:00:00,2015-11-01 00:12:17,1,.74,-74.002616882324219,40.734058380126953,1,N,-74.004364013671875,40.7406005859375,2,8.5,0.5,0.5,0,0,0.3
2,2015-11-01 00:00:00,2015-11-01 00:25:08,1,2.89,-73.987312316894531,40.718711853027344,1,N,-73.9915771484375,40.749118804931641,1,16.5,0.5,0.5,0,0,0.3
2,2015-12-01 00:00:00,2015-12-01 00:05:16,5,.96,-73.979942321777344,40.765380859375,1,N,-73.96630859375,40.763088226318359,1,5.5,0.5,0.5,1,0,0.3
2,2015-12-01 00:00:00,2015-12-01 00:00:00,2,2.69,-73.972335815429687,40.762378692626953,1,N,-73.993629455566406,40.745998382568359,1,21.5,0,0.5,3.34,0,0.3
2,2015-12-01 00:00:00,2015-12-01 00:00:00,1,2.62,-73.968849182128906,40.764530181884766,1,N,-73.97454833984375,40.791641235351563,1,17,0,0.5,3.56,0,0.3
1,2015-12-01 00:00:01,2015-12-01 00:05:56,1,1.20,-73.993934631347656,40.741683959960937,1,N,-73.997665405273438,40.747467041015625,1,6.5,0.5,0.5,0.2,0,0.3
2,2016-01-01 00:00:00,2016-01-01 00:00:00,2,1.10,-73.990371704101563,40.734695434570313,1,N,-73.981842041015625,40.732406616210937,2,7.5,0.5,0.5,0,0,0.3
2,2016-01-01 00:00:00,2016-01-01 00:00:00,5,4.90,-73.980781555175781,40.729911804199219,1,N,-73.944473266601563,40.716678619384766,1,18,0.5,0.5,0,0,0.3
2,2016-01-01 00:00:00,2016-01-01 00:00:00,1,10.54,-73.984550476074219,40.6795654296875,1,N,-73.950271606445313,40.788925170898438,1,33,0.5,0.5,0,0,0.3
2,2016-01-01 00:00:00,2016-01-01 00:00:00,1,4.75,-73.99346923828125,40.718990325927734,1,N,-73.962242126464844,40.657333374023437,2,16.5,0,0.5,0,0,0.3
2,2016-02-25 17:24:20,2016-02-25 17:27:20,2,.70,-73.947250366210937,40.763771057128906,1,N,-73.992012023925781,40.735389709472656,2,5,0,0.5,0,0,0.3
2,2016-02-25 23:10:50,2016-02-25 23:31:50,2,5.52,-73.983016967773437,40.750991821289063,1,N,-73.98858642578125,40.758838653564453,2,20,0.5,0.5,0,0,0.3
2,2016-02-01 00:00:01,2016-02-01 00:10:52,6,1.99,-73.992340087890625,40.758201599121094,1,N,-73.96435546875,40.757976531982422,1,9.5,0.5,0.5,0.7,0,0.3
